title,province,cbs_code,population,area,migrants,migrants_western,migrants_non_western,income,latitude,longitude
"Aa en Hunze","Drenthe",1680,25728,276.09,6.7,4.2,2.5,31100,53,6.75
"Aalsmeer","Noord-Holland",0358,33071,20.12,20.4,11.3,9.1,35300,52.233333333333,4.75
"Aalten (gemeente)","Gelderland",0197,27269,96.54,11.4,8,3.4,28600,51.933333333333,6.5833333333333
"Achtkarspelen","Friesland",0059,28110,102.23,4.5,2.3,2.2,26100,53.416666666667,6.25
"Alblasserdam","Zuid-Holland",0482,20399,8.78,15.1,7,8.1,29400,51.866666666667,4.6666666666667
"Albrandswaard","Zuid-Holland",0613,26349,21.69,21.5,7.9,13.6,35200,51.866666666667,4.4166666666667
"Alkmaar (gemeente)","Noord-Holland",0361,111878,110.46,22.6,9.8,12.9,29100,52.616666666667,4.7666666666667
"Almelo","Overijssel",0141,74034,67.27,26.3,10.4,15.9,26300,52.366666666667,6.6666666666667
"Almere","Flevoland",0034,223183,129.19,43.8,10.9,32.9,29400,52.366666666667,5.2166666666667
"Alphen aan den Rijn (gemeente)","Zuid-Holland",0484,114313,126.23,20.8,9.4,11.4,31400,52.133333333333,4.65
"Alphen-Chaam","Noord-Brabant",1723,10462,93.04,14.5,11.8,2.8,33000,51.483333333333,4.8666666666667
"Altena (Nederlandse gemeente)","Noord-Brabant",1959,57776,200.63,7.5,4.7,2.8,31100,51.766666666667,4.95
"Ameland (hoofdbetekenis)","Friesland",0060,3834,59.11,8.1,6.5,1.6,0,53.45,5.75
"Amersfoort (hoofdbetekenis)","Utrecht (provincie)",0307,160902,62.62,25.1,8.9,16.1,31500,52.15,5.3833333333333
"Amstelveen","Noord-Holland",0362,94396,41.13,45.8,19.7,26.1,33500,52.3,4.8333333333333
"Amsterdam (gemeente)","Noord-Holland",0363,922679,165.5,55.6,19.5,36.1,29400,52.366666666667,4.8833333333333
"Apeldoorn (gemeente)","Gelderland",0200,167205,339.89,18.1,8.4,9.7,29700,52.216666666667,5.95
"Arnhem","Gelderland",0202,165896,97.82,32.8,11.8,21,26100,51.983333333333,5.9166666666667
"Assen","Drenthe",0106,69426,81.89,16.2,8,8.3,27700,52.983333333333,6.55
"Asten (gemeente)","Noord-Brabant",0743,17267,70.17,11.3,7.6,3.7,30300,51.4,5.7333333333333
"Baarle-Nassau","Noord-Brabant",0744,7080,76.14,25.8,22.7,3.1,31200,51.45,4.9333333333333
"Baarn","Utrecht (provincie)",0308,25032,32.54,18.5,9.8,8.6,37400,52.216666666667,5.3
"Barendrecht","Zuid-Holland",0489,48807,19.75,25.2,7.8,17.4,34300,51.85,4.5333333333333
"Barneveld (gemeente)","Gelderland",0203,61769,175.9,8.9,4.1,4.8,31100,52.133333333333,5.5833333333333
"Beek (gemeente)","Limburg (Nederlandse provincie)",0888,16152,21.03,15.2,10.3,5,30400,50.933333333333,5.7833333333333
"Beekdaelen","Limburg (Nederlandse provincie)",1954,35941,78.3,15.7,12.4,3.3,30300,50.933333333333,5.8833333333333
"Beesel (gemeente)","Limburg (Nederlandse provincie)",0889,13450,27.99,16.9,11.2,5.7,28500,51.266666666667,6.0333333333333
"Berg en Dal (gemeente)","Gelderland",1945,35439,86.31,14.5,10.2,4.3,29600,51.783333333333,5.9333333333333
"Bergeijk (gemeente)","Noord-Brabant",1724,19089,101,10.8,8.1,2.6,32700,51.316666666667,5.35
"Bergen (Limburg, gemeente)","Limburg (Nederlandse provincie)",0893,13100,103.24,15.8,12.9,2.9,28900,51.583333333333,6.0333333333333
"Bergen (Noord-Holland)","Noord-Holland",0373,30133,98.96,13.6,9.8,3.9,37300,52.666666666667,4.7
"Bergen op Zoom (gemeente)","Noord-Brabant",0748,68970,79.96,25.7,10.4,15.3,29000,51.5,4.2833333333333
"Berkelland","Gelderland",1859,43992,258.06,8,5,2.9,29300,52.116666666667,6.5166666666667
"Bernheze","Noord-Brabant",1721,32277,89.73,9.2,6.2,3,31900,51.683333333333,5.5166666666667
"Best","Noord-Brabant",0753,30883,34.3,17.5,9.9,7.6,32900,51.5,5.3833333333333
"Beuningen (Gelderland)","Gelderland",0209,26576,43.65,13.1,7.6,5.4,31300,51.85,5.75
"Beverwijk","Noord-Holland",0375,42678,18.4,27.7,12.1,15.6,28700,52.483333333333,4.65
"Bladel (gemeente)","Noord-Brabant",1728,21020,75.33,10.5,7.3,3.3,31400,51.366666666667,5.2166666666667
"Blaricum","Noord-Holland",0376,12486,11.11,19.8,10.8,8.9,50700,52.266666666667,5.2333333333333
"Bloemendaal (Noord-Holland)","Noord-Holland",0377,23932,39.79,19.2,13.9,5.3,51700,52.4,4.6166666666667
"Bodegraven-Reeuwijk","Zuid-Holland",1901,36303,75.38,13.4,6.6,6.9,34700,52.05,4.7166666666667
"Boekel (gemeente)","Noord-Brabant",0755,11204,34.51,8.3,6.2,2.2,31300,51.6,5.6666666666667
"Bonaire","Caribisch Nederland",9001,22573,288,0,0,0,0,12.166666666667,68.25
"Borger-Odoorn","Drenthe",1681,25915,274.53,6.4,4.3,2.1,28500,52.85,6.85
"Borne (Overijssel)","Overijssel",0147,24518,26,11,6.3,4.8,30500,52.3,6.75
"Borsele (gemeente)","Zeeland (provincie)",0654,23164,141.57,9.5,6.5,3,30600,51.433333333333,3.8166666666667
"Boxtel (gemeente)","Noord-Brabant",0757,33828,63.73,16.9,8.4,8.5,30300,51.583333333333,5.3333333333333
"Breda (gemeente)","Noord-Brabant",0758,186504,125.74,24.2,11.5,12.8,30300,51.583333333333,4.7833333333333
"Bronckhorst (hoofdbetekenis)","Gelderland",1876,36261,283.5,6.1,4.1,2,32800,52.05,6.3
"Brummen (gemeente)","Gelderland",0213,21109,83.65,12.1,6.1,6,30700,52.1,6.1
"Brunssum","Limburg (Nederlandse provincie)",0899,27647,17.25,24.1,18.5,5.6,26300,50.95,5.9666666666667
"Bunnik (gemeente)","Utrecht (provincie)",0312,15997,36.97,13.2,7.6,5.6,35200,52.066666666667,5.2
"Bunschoten","Utrecht (provincie)",0313,22502,30.38,11.7,6.3,5.3,31900,52.25,5.3666666666667
"Buren (gemeente)","Gelderland",0214,27719,133.89,8.7,5.9,2.8,33000,51.9,5.3333333333333
"Capelle aan den IJssel","Zuid-Holland",0502,67513,14.14,36.2,11.3,24.9,29100,51.933333333333,4.5833333333333
"Castricum","Noord-Holland",0383,36298,49.68,11.7,7.1,4.5,35500,52.55,4.6666666666667
"Coevorden (gemeente)","Drenthe",0109,35741,296.07,9.2,5.3,3.9,28700,52.65,6.7333333333333
"Cranendonck","Noord-Brabant",1706,20879,76.4,18.2,11.5,6.7,31300,51.266666666667,5.5666666666667
"Culemborg","Gelderland",0216,29732,29.29,23.7,9.3,14.3,30900,51.95,5.2333333333333
